GEO_SPATIAL_KEY,SUBZONE,PLANNING_AREA
14209,DEPOT ROAD,Bukit Merah
14211,TELOK BLANGAH DRIVE,Bukit Merah
14219,DEPOT ROAD,Bukit Merah
14221,TANJONG PAGAR_BUKIT MERAH,Bukit Merah
14229,TELOK BLANGAH RISE,Bukit Merah
14231,TANJONG PAGAR_BUKIT MERAH,Bukit Merah
14239,TANJONG PAGAR_BUKIT MERAH,Bukit Merah
14241,TELOK BLANGAH DRIVE,Bukit Merah
14249,TELOK BLANGAH WAY,Bukit Merah
14259,TELOK BLANGAH WAY,Bukit Merah
14269,TELOK BLANGAH WAY,Bukit Merah
14271,MARITIME SQUARE,Bukit Merah
14279,TELOK BLANGAH WAY,Bukit Merah
14281,MARITIME SQUARE,Bukit Merah
14291,TELOK BLANGAH RISE,Bukit Merah
14299,TELOK BLANGAH WAY,Bukit Merah
14309,TELOK BLANGAH RISE,Bukit Merah
14319,TELOK BLANGAH RISE,Bukit Merah
14329,TELOK BLANGAH DRIVE,Bukit Merah
14331,TELOK BLANGAH DRIVE,Bukit Merah
14339,TELOK BLANGAH DRIVE,Bukit Merah
14341,TELOK BLANGAH DRIVE,Bukit Merah
14349,TELOK BLANGAH DRIVE,Bukit Merah
14351,TELOK BLANGAH DRIVE,Bukit Merah
14359,TELOK BLANGAH DRIVE,Bukit Merah
14369,DEPOT ROAD,Bukit Merah
14379,TELOK BLANGAH RISE,Bukit Merah
14381,TELOK BLANGAH RISE,Bukit Merah
14389,TELOK BLANGAH RISE,Bukit Merah
14391,TELOK BLANGAH DRIVE,Bukit Merah
14399,TELOK BLANGAH DRIVE,Bukit Merah
14401,MARITIME SQUARE,Bukit Merah
14409,MARITIME SQUARE,Bukit Merah
14419,MARITIME SQUARE,Bukit Merah
14429,MARITIME SQUARE,Bukit Merah
14431,MARITIME SQUARE,Bukit Merah
14441,MARITIME SQUARE,Bukit Merah
14451,MARITIME SQUARE,Bukit Merah
14461,MARITIME SQUARE,Bukit Merah
14471,TELOK BLANGAH DRIVE,Bukit Merah
14489,TELOK BLANGAH RISE,Bukit Merah
14491,TELOK BLANGAH DRIVE,Bukit Merah
14499,TELOK BLANGAH DRIVE,Bukit Merah
14519,SENTOSA,Southern Islands
15041,PASIR PANJANG 2,Queenstown
15049,TELOK BLANGAH DRIVE,Bukit Merah
15051,PASIR PANJANG 2,Queenstown
15059,TELOK BLANGAH DRIVE,Bukit Merah
15071,PASIR PANJANG 1,Queenstown
15079,PASIR PANJANG 2,Queenstown
15091,KENT RIDGE,Queenstown
15099,KENT RIDGE,Queenstown
15101,PASIR PANJANG 1,Queenstown
15109,KENT RIDGE,Queenstown
15111,PASIR PANJANG 1,Queenstown
15119,KENT RIDGE,Queenstown
15121,PASIR PANJANG 1,Queenstown
