GEO_SPATIAL_KEY,SUBZONE,PLANNING_AREA
1,TRAFALGAR_SENGKANG,Sengkang
2,BUANGKOK,Sengkang
3,BUANGKOK,Sengkang
4,JALAN KAYU EAST,Sengkang
5,JALAN KAYU EAST,Sengkang
6,JALAN KAYU EAST,Sengkang
7,JALAN KAYU EAST,Sengkang
8,BUANGKOK,Sengkang
9,TRAFALGAR_SENGKANG,Sengkang
10,TECK WHYE,Choa Chu Kang
11,BANGKIT,Bukit Panjang
12,FAJAR,Bukit Panjang
13,SAUJANA,Bukit Panjang
14,TECK WHYE,Choa Chu Kang
15,BANGKIT,Bukit Panjang
16,BUKIT PANJANG,Bukit Panjang
17,TECK WHYE,Choa Chu Kang
18,SAUJANA,Bukit Panjang
19,SENJA,Bukit Panjang
20,CENTRAL_CHOA CHU KANG,Choa Chu Kang
21,TECK WHYE,Choa Chu Kang
22,SUNGEI SERANGOON WEST,Sengkang
23,SENGKANG TOWN CENTRE,Sengkang
24,SUBZONE 4_PUNGGOL,Punggol
25,SUBZONE 4_PUNGGOL,Punggol
26,SUBZONE 5_PUNGGOL,Punggol
27,SUBZONE 5_PUNGGOL,Punggol
28,SUNGEI SERANGOON WEST,Sengkang
29,SUBZONE 4_PUNGGOL,Punggol
30,SUBZONE 5_PUNGGOL,Punggol
31,SUBZONE 4_PUNGGOL,Punggol
32,SUNGEI SERANGOON WEST,Sengkang
33,BUKIT PANJANG,Bukit Panjang
34,CENTRAL_CHOA CHU KANG,Choa Chu Kang
35,ALJUNIED,Geylang
36,BOON KENG,Kallang
37,YIO CHU KANG,Ang Mo Kio
38,GEYLANG EAST,Geylang
39,TAMPINES EAST,Tampines
40,BEDOK SOUTH,Bedok
41,BEDOK NORTH,Bedok
42,CHANGI AIRPORT,Changi
43,XILIN,Tampines
44,LAVENDER,Kallang
45,BUGIS,Downtown Core
46,TIONG BAHRU STATION,Bukit Merah
47,REDHILL,Bukit Merah
48,MEI CHIN,Queenstown
49,COMMONWEALTH,Queenstown
50,ONE NORTH,Queenstown
51,SINGAPORE POLYTECHNIC,Queenstown
52,CLEMENTI CENTRAL,Clementi
53,JURONG REGIONAL CENTRE,Jurong East
54,JURONG LAKE,Jurong East
55,TAMAN JURONG,Jurong West
56,RAFFLES PLACE,Downtown Core
57,CENTRAL SUBZONE,Downtown Core
58,DHOBY GHAUT,Museum
59,TRAFALGAR_SENGKANG,Sengkang
60,HOUGANG CENTRAL,Hougang
61,LORONG AH SOO,Hougang
62,POTONG PASIR,Toa Payoh
63,SERANGOON CENTRAL,Serangoon
64,BENDEMEER,Kallang
65,FARRER PARK,Rochor
66,FARRER PARK,Rochor
67,PEARL'S HILL,Outram
68,MARITIME SQUARE,Bukit Merah
69,CENTRAL_JURONG WEST,Jurong West
70,CENTRAL_JURONG WEST,Jurong West
71,JOO KOON,Pioneer
72,BIDADARI,Toa Payoh
73,BRAS BASAH,Museum
74,CITY HALL,Downtown Core
75,MARINA CENTRE,Downtown Core
76,CRAWFORD,Kallang
77,TANJONG RHU,Kallang
78,ALJUNIED,Geylang
79,ALJUNIED,Geylang
80,KAMPONG UBI,Geylang
81,TAI KENG,Hougang
