GEO_SPATIAL_KEY,X,Y
1,35125.72531,40664.6283
2,34721.04998,42022.44541
3,34215.13827,42119.84947
4,32782.92302,41536.61383
5,33333.67885,42231.84246
6,32710.31961,42146.6767
7,33203.20868,41558.43826
8,33841.26753,41263.38235
9,34361.85331,40960.72859
10,19884.8983,40187.13877
11,21247.71498,40225.11618
12,21042.51395,40722.14501
13,20343.08024,40958.00981
14,18619.73269,40064.18795
15,21093.50389,39797.05123
16,20578.82555,39970.83372
17,19618.87277,40066.0453
18,20908.18872,41080.58849
19,20105.68027,40515.11967
20,18202.96738,40247.84607
21,19133.55154,39850.89315
22,36028.20743,41106.84368
23,35469.1584,41824.33738
24,36827.72818,41753.33516
25,36072.01563,42371.29251
26,36372.88055,43014.57226
27,37250.82966,42386.44722
28,35665.79184,40652.64604
29,36408.35485,42096.18138
30,36832.32618,42686.71032
31,37212.96737,41827.84283
32,36081.46875,41491.6906
33,20185.30193,39987.11061
34,18119.42013,40744.24272
35,33515.91772,33195.65104
36,32231.29071,32638.8176
37,29296.14373,40415.70859
38,34566.08279,33368.83421
39,40438.27472,37274.98998
40,40597.35088,34387.70456
41,38759.08795,34019.72135
42,45277.12363,37713.63205
43,42347.38338,35314.1778
44,31306.66071,32196.12966
45,30534.79974,31431.56279
46,27368.28872,29835.39318
47,26156.79277,30228.7574
48,24965.47884,30770.56233
49,24103.69573,31643.05284
50,23272.35008,32167.94248
51,21913.40001,32635.89966
52,20422.5178,33042.73037
53,17870.22183,35034.78734
54,16790.42016,36069.31429
55,15478.02776,36272.03356
56,30020.1583,29648.93729
57,30385.21478,28627.48294
58,29302.23041,31238.63444
59,34647.34845,40556.96002
60,34614.3825,39323.7607
61,33737.55157,38004.91292
62,31981.34513,34828.89332
63,32501.93546,36880.30923
64,31138.61854,33565.01147
65,30323.35778,32791.17839
66,29778.42839,32099.55074
67,29189.12054,29716.4496
68,26794.04756,27534.25546
69,13805.93915,35627.31882
70,12868.58573,35528.18322
71,10746.33343,34438.62279
72,33245.13807,36065.56232
73,29917.67154,31029.72889
74,30521.3741,30627.42916
75,31090.04001,30574.64637
76,31358.93312,31336.58762
77,32683.53593,31680.07424
78,33472.98187,32063.9935
